Age,Max
46,0.00%
47,0.00%
48,0.00%
49,0.00%
50,6.27%
51,6.31%
52,6.35%
53,6.40%
54,6.45%
55,6.51%
56,6.57%
57,6.63%
58,6.70%
59,6.77%
60,6.85%
61,6.94%
62,7.04%
63,7.14%
64,7.26%
65,7.38%
66,7.52%
67,7.67%
68,7.83%
69,8.02%
70,8.22%
71,8.45%
72,8.71%
73,9.00%
74,9.34%
75,9.71%
76,10.15%
77,10.66%
78,11.25%
79,11.96%
80,12.82%
81,13.87%
82,15.19%
83,16.90%
84,19.19%
85,22.40%
86,27.23%
87,35.29%
88,51.46%
89,100.00%
90,100.00%
91,100.00%
92,100.00%
93,100.00%
94,100.00%
95,100.00%
96,100.00%
97,100.00%
98,100.00%
99,100.00%
100,100.00%
