Age,Min
47,0.000%
48,0.000%
49,0.000%
50,0.000%
51,0.000%
52,0.000%
53,0.000%
54,0.000%
55,2.860%
56,2.940%
57,3.030%
58,3.130%
59,3.230%
60,3.330%
61,3.450%
62,3.570%
63,3.700%
64,3.850%
65,4.000%
66,4.170%
67,4.350%
68,4.550%
69,4.760%
70,5.000%
71,5.280%
72,5.400%
73,5.530%
74,5.670%
75,5.820%
76,5.980%
77,6.170%
78,6.360%
79,6.580%
80,6.820%
81,7.080%
82,7.380%
83,7.710%
84,8.080%
85,8.510%
86,8.990%
87,9.550%
88,10.210%
89,10.990%
90,11.920%
91,13.060%
92,14.490%
93,16.340%
94,18.790%
95,21.240%
96,23.690%
97,26.140%
98,28.590%
99,31.040%
100,33.490%
