Year,Region,Bracket,Over,Under,Rate
2024,Ontario,0,0,51446,0.0505
2024,Ontario,1,51446,102894,0.0915
2024,Ontario,2,102894,145196,0.1116
2024,Ontario,3,145196,220000,0.1216
2024,Ontario,4,220000,9999999,0.1316
2024,Federal,0,0,55867,0.150
2024,Federal,1,55867,111733,0.205
2024,Federal,2,111733,173205,0.260
2024,Federal,3,173205,235752,0.290
2024,Federal,4,235752,9999999,0.330
2025,Ontario,0,0,53000,0.0505
2025,Ontario,1,53000,106000,0.0915
2025,Ontario,2,106000,150000,0.1116
2025,Ontario,3,150000,225000,0.1216
2025,Ontario,4,225000,9999999,0.1316
2025,Federal,0,0,57000,0.150
2025,Federal,1,57000,114000,0.205
2025,Federal,2,114000,178000,0.260
2025,Federal,3,178000,242000,0.290
2025,Federal,4,242000,9999999,0.330
